SPX (S&P 500 INDEX),2684.79,+2.17,
Dec 28 2017 @ 11:12 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Dec 2225.00 (SPX1821L2225),491.38,0.0,497.6,506.0,0,359,18 Dec 2225.00 (SPX1821X2225),43.14,0.0,40.8,44.5,0,3903,
18 Dec 2250.00 (SPX1821L2250),480.7,0.0,476.1,484.3,0,4992,18 Dec 2250.00 (SPX1821X2250),44.0,0.0,43.6,47.4,0,17252,
18 Dec 2275.00 (SPX1821L2275),460.42,0.0,454.7,462.8,0,5560,18 Dec 2275.00 (SPX1821X2275),48.0,-1.02,46.6,50.6,39,14709,
18 Dec 2300.00 (SPX1821L2300),440.0,0.0,433.4,441.5,0,18527,18 Dec 2300.00 (SPX1821X2300),52.5,0.0,49.8,53.8,0,23480,
18 Dec 2325.00 (SPX1821L2325),415.0,0.0,412.4,420.4,0,6125,18 Dec 2325.00 (SPX1821X2325),56.4,0.0,53.2,57.3,0,7035,
18 Dec 2350.00 (SPX1821L2350),396.0,0.0,391.6,399.5,0,5925,18 Dec 2350.00 (SPX1821X2350),58.65,-0.89,56.8,61.1,675,17702,
18 Dec 2375.00 (SPX1821L2375),376.6,0.0,371.0,378.8,0,11115,18 Dec 2375.00 (SPX1821X2375),62.7,0.55,60.7,65.0,1,13085,
18 Dec 2400.00 (SPX1821L2400),355.98,0.0,350.7,358.4,0,18440,18 Dec 2400.00 (SPX1821X2400),67.1,-0.81,64.8,69.2,60,27614,
18 Dec 2425.00 (SPX1821L2425),334.1,-1.05,330.6,338.2,115,5272,18 Dec 2425.00 (SPX1821X2425),71.25,0.85,69.1,73.6,937,9920,
18 Dec 2450.00 (SPX1821L2450),315.68,0.0,310.8,318.2,0,6812,18 Dec 2450.00 (SPX1821X2450),75.7,-0.15,73.7,77.8,230,11436,
18 Dec 2475.00 (SPX1821L2475),294.4,-1.2,291.3,298.6,115,11160,18 Dec 2475.00 (SPX1821X2475),81.0,1.5,78.6,83.3,187,12397,
18 Dec 2500.00 (SPX1821L2500),277.2,-0.2,272.2,278.8,7,12727,18 Dec 2500.00 (SPX1821X2500),86.25,-1.35,83.8,88.5,11,15446,
18 Dec 2525.00 (SPX1821L2525),257.6,0.0,253.3,259.8,0,2198,18 Dec 2525.00 (SPX1821X2525),93.6,0.0,89.1,93.9,0,2581,
18 Dec 2550.00 (SPX1821L2550),237.68,-3.47,234.8,241.8,1,10591,18 Dec 2550.00 (SPX1821X2550),97.98,0.98,94.9,99.9,3,10382,
18 Dec 2575.00 (SPX1821L2575),221.77,0.0,216.7,223.5,0,13263,18 Dec 2575.00 (SPX1821X2575),105.56,0.0,101.3,106.4,0,14449,
18 Dec 2600.00 (SPX1821L2600),203.85,0.0,198.9,205.7,0,43072,18 Dec 2600.00 (SPX1821X2600),110.0,0.0,107.9,113.2,0,12740,
18 Dec 2625.00 (SPX1821L2625),184.77,0.0,181.7,188.3,0,7110,18 Dec 2625.00 (SPX1821X2625),117.0,0.0,115.1,120.4,0,3730,
18 Dec 2650.00 (SPX1821L2650),167.16,0.0,165.0,171.4,0,6407,18 Dec 2650.00 (SPX1821X2650),127.59,0.0,122.7,128.1,0,5476,
18 Dec 2675.00 (SPX1821L2675),155.2,0.0,148.4,154.7,0,5745,18 Dec 2675.00 (SPX1821X2675),132.8,0.0,130.8,136.5,0,2713,
18 Dec 2700.00 (SPX1821L2700),136.0,1.0,132.8,139.0,350,10138,18 Dec 2700.00 (SPX1821X2700),143.8,-1.45,139.6,145.4,350,3174,
18 Dec 2725.00 (SPX1821L2725),121.9,0.0,117.9,124.0,0,1539,18 Dec 2725.00 (SPX1821X2725),154.47,0.0,149.1,155.0,0,63,
18 Dec 2750.00 (SPX1821L2750),107.7,0.0,103.8,109.6,0,7488,18 Dec 2750.00 (SPX1821X2750),164.87,0.0,159.3,165.4,0,674,
18 Dec 2775.00 (SPX1821L2775),96.0,0.0,90.4,96.1,0,2166,18 Dec 2775.00 (SPX1821X2775),174.07,0.0,170.2,176.5,0,160,
18 Dec 2800.00 (SPX1821L2800),80.75,-1.25,77.9,83.5,212,12675,18 Dec 2800.00 (SPX1821X2800),185.11,-0.64,182.0,188.6,9,631,
